temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,angle_of_incidence,zenith,generated_power_kw
5.23,40,1030.9,0,0.6,312.39,20.62,107.59409,118.49663,12.823696
0.22,34,1031.9,0,0,0,11.53,60.317494,81.440343,622.10833
0.63,37,1032.3,0,0,8.01,10.74,46.348249,72.745483,1555.0839
3.36,35,1032.1,0,0,135.28,9.69,32.817529,65.755409,2207.8295
4.66,31,1032.2,0,0,290.14,11.88,20.851847,61.145105,2033.3861
5.7,31,1031.4,0,2,419.19,13.63,14.96069,59.495415,1495.0268
6.77,51,1030.7,0,0,495.73,14.78,20.605587,61.052056,1601.2917
7.57,51,1030.4,0,0,524.21,16.6,32.501613,65.582372,1587.797
7.9,49,1030.5,0,0,498.4,17.02,46.017,72.511392,900.9568
7.61,52,1029.5,0,0,421.86,17.06,59.870431,81.086397,175.41141
6.84,55,1030.3,0,0.3,302.6,15.68,107.68261,118.31051,25.198679
-0.22,97,1032.8,0,70,0,0.36,60.343597,81.28601,65.334722
0.4,94,1033.1,0,100,8.9,1.3,46.343532,72.564164,128.55614
1.97,88,1032.9,0,100,133.5,5.86,32.767024,65.545625,213.53037
3.69,78,1032,0,7,302.6,10.23,20.715871,60.908964,529.23609
5.35,71,1031.2,0,0.9,427.2,12.77,14.717325,59.241358,801.21361
7.23,65,1030.5,0,0.3,501.07,16.6,20.395668,60.792939,1120.3043
8.01,64,1029.9,0,0.3,525.99,18.46,32.357883,65.330014,522.36722
8.15,64,1030.1,0,0,499.29,21.53,45.91431,72.272754,694.42378
7.73,65,1028.8,0,0,422.75,20.43,59.797177,80.864708,197.23395
6.98,69,1028.6,0,0,304.38,19.88,107.77202,118.11981,29.081699
-2.11,97,1031,0,12,0,4.68,60.366723,81.125573,600.64111
-1.73,91,1030.6,0,3,9.79,4.21,46.335747,72.376696,1563.6986
